match_id,date,match_type,team1,team2,venue,city,toss_winner,winner
1311747,2022-04-30,T20,Hong Kong,United Arab Emirates,"Malek Cricket Ground, Ajman",Ajman,Hong Kong,United Arab Emirates
1314897,2022-05-16,T20,Uganda,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Uganda
1314898,2022-05-17,T20,Nepal,Uganda,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Uganda,Uganda
1314899,2022-05-19,T20,Nepal,Uganda,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Uganda
1314900,2022-05-20,T20,Nepal,Uganda,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Nepal
1314901,2022-05-21,T20,Nepal,Uganda,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Uganda,Nepal
1316642,2022-06-03,T20,Ireland,South Africa,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,South Africa,Ireland
1316643,2022-06-06,T20,Ireland,South Africa,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Ireland,South Africa
1316644,2022-06-08,T20,Ireland,South Africa,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,South Africa,South Africa
1317136,2022-06-24,T20,Serbia,Bulgaria,"National Sports Academy, Sofia",Sofia,Bulgaria,Bulgaria
1317137,2022-06-25,T20,Serbia,Bulgaria,"National Sports Academy, Sofia",Sofia,Serbia,Bulgaria
1317138,2022-06-25,T20,Serbia,Bulgaria,"National Sports Academy, Sofia",Sofia,Serbia,Bulgaria
1317139,2022-06-26,T20,Serbia,Bulgaria,"National Sports Academy, Sofia",Sofia,Bulgaria,Bulgaria
1317149,2022-07-02,T20,Bangladesh,West Indies,"Windsor Park, Roseau, Dominica",Roseau,West Indies,
1317150,2022-07-03,T20,West Indies,Bangladesh,"Windsor Park, Roseau, Dominica",Roseau,West Indies,West Indies
1317151,2022-07-07,T20,Bangladesh,West Indies,"Providence Stadium, Guyana",Providence,Bangladesh,West Indies
1317482,2022-10-05,T20,West Indies,Australia,Carrara Oval,Carrara,Australia,Australia
1317483,2022-10-07,T20,Australia,West Indies,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,West Indies,Australia
1317486,2022-10-09,T20,England,Australia,Perth Stadium,Perth,Australia,England
1317487,2022-10-12,T20,England,Australia,"Manuka Oval, Canberra",Canberra,Australia,England
1317488,2022-10-14,T20,England,Australia,"Manuka Oval, Canberra",Canberra,Australia,
1317635,2022-07-16,T20,Pakistan,Australia,"Bready Cricket Club, Magheramason, Bready",Bready,Pakistan,
1317636,2022-07-17,T20,Ireland,Australia,"Bready Cricket Club, Magheramason, Bready",Bready,Australia,Australia
1317637,2022-07-19,T20,Pakistan,Ireland,"Bready Cricket Club, Magheramason, Bready",Bready,Pakistan,Pakistan
1317638,2022-07-21,T20,Australia,Ireland,"Bready Cricket Club, Magheramason, Bready",Bready,Ireland,Australia
