match_id,date,match_type,team1,team2,venue,city,toss_winner,winner
291359,2008-02-03,ODI,Australia,India,"Brisbane Cricket Ground, Woolloongabba",Brisbane,India,
291360,2008-02-05,ODI,India,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Brisbane,India,
291361,2008-02-08,ODI,Australia,Sri Lanka,Sydney Cricket Ground,,Australia,Australia
291362,2008-02-10,ODI,Australia,India,Melbourne Cricket Ground,,Australia,India
291364,2008-02-15,ODI,Australia,Sri Lanka,Western Australia Cricket Association Ground,Perth,Australia,Australia
291365,2008-02-17,ODI,Australia,India,Adelaide Oval,,Australia,Australia
291366,2008-02-19,ODI,India,Sri Lanka,Adelaide Oval,,Sri Lanka,India
291367,2008-02-22,ODI,Australia,Sri Lanka,Melbourne Cricket Ground,,Sri Lanka,Australia
291368,2008-02-24,ODI,Australia,India,Sydney Cricket Ground,,Australia,Australia
291369,2008-02-26,ODI,India,Sri Lanka,Bellerive Oval,Hobart,India,India
291370,2008-02-29,ODI,Australia,Sri Lanka,Melbourne Cricket Ground,,Sri Lanka,Sri Lanka
291371,2008-03-02,ODI,Australia,India,Sydney Cricket Ground,,Australia,India
291372,2008-03-04,ODI,Australia,India,"Brisbane Cricket Ground, Woolloongabba",Brisbane,India,India
293071,2007-06-23,ODI,Ireland,India,"Civil Service Cricket Club, Stormont",Belfast,India,India
293072,2007-06-24,ODI,Ireland,South Africa,"Civil Service Cricket Club, Stormont",Belfast,Ireland,South Africa
293076,2007-06-26,ODI,India,South Africa,"Civil Service Cricket Club, Stormont",Belfast,South Africa,South Africa
293077,2007-06-29,ODI,India,South Africa,"Civil Service Cricket Club, Stormont",Belfast,India,India
293078,2007-07-01,ODI,India,South Africa,"Civil Service Cricket Club, Stormont",Belfast,India,India
293481,2007-07-20,ODI,Sri Lanka,Bangladesh,P Saravanamuttu Stadium,Colombo,Bangladesh,Sri Lanka
293482,2007-07-23,ODI,Sri Lanka,Bangladesh,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka
293483,2007-07-25,ODI,Sri Lanka,Bangladesh,R Premadasa Stadium,Colombo,Bangladesh,Sri Lanka
295785,2007-07-13,ODI,Netherlands,Scotland,"Civil Service Cricket Club, Stormont",Belfast,Scotland,
295788,2007-07-14,ODI,Ireland,West Indies,Clontarf Cricket Club Ground,Dublin,Ireland,
296685,2007-10-18,ODI,Kenya,Canada,Gymkhana Club Ground,Nairobi,Kenya,Kenya
296687,2007-10-20,ODI,Kenya,Canada,Gymkhana Club Ground,Nairobi,Canada,Kenya
296904,2008-06-15,ODI,England,New Zealand,Riverside Ground,Chester-le-Street,New Zealand,England
296905,2008-06-18,ODI,England,New Zealand,Edgbaston,Birmingham,New Zealand,
296906,2008-06-21,ODI,England,New Zealand,County Ground,Bristol,England,New Zealand
296907,2008-06-25,ODI,England,New Zealand,Kennington Oval,London,New Zealand,New Zealand
296908,2008-06-28,ODI,England,New Zealand,Lord's,London,England,New Zealand
296914,2008-08-22,ODI,England,South Africa,Headingley,Leeds,England,England
296915,2008-08-26,ODI,England,South Africa,Trent Bridge,Nottingham,South Africa,England
296916,2008-08-29,ODI,England,South Africa,Kennington Oval,London,South Africa,England
296917,2008-08-31,ODI,England,South Africa,Lord's,London,England,England
296918,2008-09-03,ODI,England,South Africa,Sophia Gardens,Cardiff,England,
297793,2007-09-29,ODI,India,Australia,M Chinnaswamy Stadium,Bangalore,Australia,
297794,2007-10-02,ODI,India,Australia,Nehru Stadium,Kochi,India,Australia
